split,controller_group,policy,seed,task_idx,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,battery_limit_usage_peak_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,action_magnitude_mean_delta,action_rate_mean_delta
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,13,-0.14985414417338916,0.0003422584870508283,1.0,3.858918708246617e-05,6.780029639108509e-05,0.0,0.0,0.0,9.47899676934788e-07,0.0,7.776026176398165e-05,0.0646690517141057,0.0052334229908107465
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,14,-0.0356389851984531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04482749844707238,0.002335546053169916
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,15,0.23052571773486363,-0.001137859954001147,-1.0,-0.00011148993950087227,-0.00032482178524567695,0.0,0.0,0.0,3.016623131320284e-05,0.0,0.00018154116335872272,0.09915364813463788,0.012466269207652658
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,16,0.10343759979599199,-0.001024546239083303,-1.0,-0.0008234634120114839,-0.0010118464102215619,0.0,-6.742138751860381e-05,-0.0031643439883551894,0.00011981972466290625,0.0,-1.411304062548524e-05,0.5009755608075971,0.08250809539264692
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,17,-0.0370660411312258,-0.00015208759993701193,0.0,-1.1302881965671863e-05,-2.0774163017711622e-05,0.0,0.0,0.0,1.8101653313160049e-06,0.0,1.5580622263228205e-05,0.09067557252969385,0.004616944887675345
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,18,-0.035223206768549176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04701571263891916,0.0009527039364911616
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,19,-0.044445407622298205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05827534946244365,0.0017271916731260717
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,20,-0.03677444989813239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04513510127008582,0.0029702617942045134
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,21,0.47963552526994135,-0.0027539170128728085,-1.0,-0.00022959664891971515,-0.0014187912163639016,0.0,0.0,-0.003147757435165932,8.000818401396326e-05,0.0,0.0006828228444624718,0.17530954613841862,0.012745456773942957
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,22,-0.22896008940275792,-6.850279111582295e-07,0.0,0.00048391260148389174,-0.0025971405917707413,0.0,0.0,-0.00017834000432837005,6.1286970094096e-05,0.0,0.006576541697648708,0.1253877557520981,0.013623347670363726
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,23,-0.03974716101446063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05193207803919601,0.0016361561293403307
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,24,0.00719522351207047,-0.0002104683979197164,0.0,-5.45918303334475e-05,-0.0007693888857984721,0.0,0.0,0.0006641684966376404,3.4602768926292327e-05,0.0,0.0005770416643486598,0.1647874261487353,0.02296282343498508
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,25,5.141054374819504,-0.02679307718713464,-5.0,-0.0013315064591791909,-0.002254727282416158,0.0,-2.551473330321928e-06,0.0,0.0001943974812561311,0.0,0.0018831621275471333,0.3331868638597532,0.03669650546895959
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,26,0.28016994236385173,-0.0011550799636449588,-1.0,-0.00031801837359879404,0.00030054855992445173,0.0,-4.642336678013965e-05,-0.0018863049511861352,3.647635450354514e-05,0.0,0.0005420858998455014,0.16169419449184916,0.018466562638059254
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,27,1.0067518258220503,-0.008143249815634412,-1.0,-0.00040467708486195686,-0.00046303862328928025,0.0,-0.00011178505143739914,0.0,3.96605222912072e-05,0.0,0.0004460634414786835,0.6947457324475466,0.08362705970389968
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,28,2.153332954872184,-0.010348878060979644,-8.0,-0.0010833431412436492,-0.002080623200439724,0.0,-0.00018621693102863907,0.0,0.0002589992217433279,0.0,0.0006157577340375475,0.509469445618387,0.06995945843454034
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,29,0.30174264177063037,-0.001305897923023408,-2.0,-0.00014753291745932956,-0.00018501348944766072,0.0,0.0,-0.0002062899514704286,1.644921079363426e-05,0.0,0.00013876011708591207,0.07765790265525639,0.010039975741528906
heldout_evaluation,old_adapter,old_adapter_seed_20260706,20260706,30,0.431640885423235,-0.0024433012205887783,0.0,-0.00011755469044465172,-0.0004102109912670904,0.0,0.0,-0.00010332947864599706,2.580512680519509e-05,0.0,0.0003076582434503594,0.06397985386157719,0.006707654441318785
